hole_card_1,hole_card_2,board_card_1,board_card_2,board_card_3,board_card_4,board_card_5,street,num_opponents,win_pct,tie_pct,loss_pct
Qc,5h,,,,,,0,4,16.4,4.2,79.4
9s,As,,,,,,0,5,24.6,2.6,72.8
6c,Ad,,,,,,0,6,11.6,4.8,83.6
4s,Ac,,,,,,0,6,11.4,3.6,85.0
2d,6h,,,,,,0,6,7.8,1.6,90.6
3c,2s,2d,6s,4s,7h,,4,1,52.0,2.0,46.0
2c,Kh,6d,Jd,8s,Qc,,4,5,2.0,0.8,97.2
Td,9h,,,,,,0,7,13.4,3.8,82.8
9s,Jc,Th,9c,Ah,,,3,6,12.4,2.8,84.8
4s,5s,4h,As,8c,2h,Jh,5,8,0.4,0.4,99.2
5c,9c,9s,5s,2d,3h,3c,5,7,27.0,0.8,72.2
7h,8d,3h,5s,6h,2s,9d,5,8,91.8,8.2,0.0
Qc,Ac,8h,7s,7d,,,3,4,16.6,4.2,79.2
4h,Qd,Th,As,4d,Tc,,4,1,58.4,7.4,34.2
6h,3d,,,,,,0,5,8.4,2.2,89.4
6d,4c,2s,Ts,8c,7c,2d,5,5,0.0,0.0,100.0
Td,7c,Jh,9c,5h,,,3,4,12.6,2.6,84.8
Kh,3s,9c,6s,Jd,,,3,8,1.6,2.4,96.0
9c,5c,Th,Ks,6d,7d,,4,6,3.2,3.2,93.6
Ad,3c,9d,Ts,5h,,,3,8,4.6,1.4,94.0
Ac,Jc,Ts,Qc,Qs,8c,,4,7,21.0,3.8,75.2
5s,2s,,,,,,0,7,10.6,2.0,87.4
Th,Jh,5c,2s,Jc,2c,5h,5,2,58.2,0.2,41.6
As,3s,Qs,Jc,Ts,6d,Ac,5,4,17.6,6.4,76.0
Ah,6c,2s,2d,9c,,,3,8,3.4,1.8,94.8
Kd,6h,Kh,6s,5d,4c,,4,7,40.4,1.0,58.6
9s,Ad,,,,,,0,2,39.8,3.4,56.8
Ad,5c,4s,9d,7c,7d,,4,4,8.2,4.6,87.2
5s,8d,7s,9h,9c,,,3,8,9.0,5.0,86.0
Ks,9h,5s,4c,3h,7h,Tc,5,8,0.0,0.0,100.0
7d,Js,Td,5d,2h,Qd,,4,1,38.4,0.6,61.0
Jh,7h,,,,,,0,3,26.0,3.4,70.6
5s,4h,Th,9c,5d,,,3,8,9.0,2.4,88.6
7s,9h,,,,,,0,6,10.2,2.6,87.2
Qc,4h,2s,Td,2c,,,3,6,3.8,1.0,95.2
Qh,5h,,,,,,0,1,53.8,4.0,42.2
Kc,7d,8s,Qs,2c,2s,4c,5,7,0.0,0.0,100.0
5d,8d,4c,9c,2c,8c,,4,1,31.4,13.2,55.4
3s,6s,4d,Ac,3d,,,3,6,7.4,3.6,89.0
2h,As,Kc,8c,Ah,6d,8h,5,7,19.4,20.0,60.6
Jd,4s,As,Ts,5d,3h,3d,5,3,0.4,1.2,98.4
Td,Qs,2c,7c,2s,,,3,5,6.0,1.4,92.6
Ks,Qd,9c,Ts,3h,Tc,5d,5,7,0.0,0.0,100.0
Ks,Ac,Qh,4s,7h,5c,3h,5,5,0.0,0.0,100.0
8c,7c,4c,3c,3s,5c,Th,5,4,77.6,0.0,22.4
7s,3s,Qh,Td,Ac,2h,2d,5,5,0.0,0.2,99.8
Qs,Kc,2d,Jd,6s,2s,6h,5,3,7.8,6.0,86.2
6d,Qd,6c,Jh,2c,,,3,6,18.8,0.6,80.6
3c,6d,,,,,,0,3,17.2,2.6,80.2
6h,Tc,4c,7c,Js,2h,,4,1,16.8,1.2,82.0
8s,7d,,,,,,0,3,21.6,2.6,75.8
9h,Ks,6d,7c,Qh,9c,,4,3,33.4,0.4,66.2
3d,9s,,,,,,0,6,6.8,4.0,89.2
Ts,6c,Kh,3s,5c,Ad,6s,5,3,23.4,1.2,75.4
Th,Qc,2s,9s,3c,Kc,,4,8,6.8,0.6,92.6
7h,2h,Jc,Ah,8h,8d,6d,5,1,7.8,3.4,88.8
6h,2s,4h,Kh,6d,9s,5c,5,4,10.6,0.4,89.0
8h,2s,8s,4h,Ad,9d,,4,8,5.2,1.4,93.4
8d,Kc,,,,,,0,4,18.6,1.8,79.6
Jd,Tc,4d,3s,Qc,As,,4,8,7.6,0.8,91.6
4s,5c,,,,,,0,3,16.4,4.6,79.0
2h,6h,6c,4h,8d,Jh,9s,5,1,52.4,3.4,44.2
9c,2c,,,,,,0,2,22.4,3.6,74.0
Qc,2d,6c,8s,Kd,9h,7s,5,8,0.0,0.0,100.0
8c,4h,,,,,,0,8,7.2,1.4,91.4
Qc,2h,As,Th,2d,Kd,,4,7,4.2,5.2,90.6
6h,8c,5s,3h,Jh,,,3,1,25.8,2.0,72.2
Qc,9s,6s,2h,Tc,7h,,4,7,4.6,7.8,87.6
9c,8c,As,7d,3s,4s,Ad,5,7,0.0,0.0,100.0
8c,Qc,,,,,,0,3,25.2,3.0,71.8
5d,3h,6c,2c,Tc,9s,3c,5,5,0.2,0.0,99.8
8d,Ts,Kc,5s,6s,2h,8c,5,1,68.2,0.8,31.0
Ts,5c,4c,Ah,2h,6h,,4,3,5.8,3.2,91.0
Js,5d,,,,,,0,3,17.8,2.8,79.4
3d,9h,Jd,4s,3c,8d,9c,5,3,78.8,1.2,20.0
2s,6h,,,,,,0,2,17.2,4.8,78.0
7c,3h,,,,,,0,8,4.8,1.2,94.0
9d,Tc,9h,4s,7h,3h,Jh,5,2,21.2,0.6,78.2
4h,Ac,4c,Kh,7s,Ad,9h,5,4,86.4,1.0,12.6
Kd,4c,9c,9h,7d,,,3,3,10.8,4.8,84.4
4h,6h,3c,Ts,7s,,,3,3,15.2,2.2,82.6
Td,5d,Ts,5c,9d,4s,2d,5,1,94.6,0.2,5.2
5d,Qc,4s,Jd,4d,6s,Jc,5,5,0.4,0.8,98.8
6c,Ks,7d,Jc,4d,,,3,4,9.2,2.2,88.6
Qd,9c,2h,7d,Tc,,,3,7,8.0,1.6,90.4
6d,2c,,,,,,0,8,4.6,1.4,94.0
8s,Ah,Th,9h,3c,6s,2s,5,4,0.4,0.2,99.4
8d,Ah,,,,,,0,8,9.4,3.8,86.8
Qs,Kc,5s,9h,8c,9c,,4,5,4.4,1.6,94.0
3c,Ts,2d,9h,2s,3s,,4,7,5.8,1.6,92.6
3s,3c,Qc,8d,2c,As,8s,5,7,1.6,0.0,98.4
5h,Kc,2h,8c,3d,,,3,5,7.6,1.6,90.8
9h,Kd,,,,,,0,3,28.0,2.2,69.8
5h,Js,,,,,,0,6,9.2,2.4,88.4
3d,5s,Ac,2s,Jh,,,3,1,30.0,3.8,66.2
6c,Jh,,,,,,0,8,7.0,3.2,89.8
Jd,Td,Ts,7c,5d,3d,,4,3,58.2,1.0,40.8
Ah,3s,4s,8d,4c,Ad,Js,5,5,30.2,15.2,54.6
5d,3h,3d,6d,9h,7s,,4,7,5.2,7.4,87.4
5c,6d,2c,4h,3s,3d,,4,6,60.8,13.0,26.2
3c,8d,2d,Qh,6d,,,3,2,11.6,0.6,87.8
5d,6c,2s,Js,4c,As,,4,3,6.8,0.0,93.2
4c,Jd,7h,3d,Ks,Qd,,4,7,0.6,0.0,99.4
4h,Ah,9c,Tc,4d,Qh,,4,2,26.4,1.2,72.4
8h,Kh,5h,Jh,As,,,3,5,39.2,2.0,58.8
2c,4s,8h,9c,Ad,,,3,6,2.8,0.6,96.6
Kd,Td,,,,,,0,7,19.0,2.6,78.4
8c,7d,,,,,,0,1,42.2,4.6,53.2
Qh,Kc,Th,4c,6c,8h,2h,5,2,5.8,0.4,93.8
Jd,4h,Qs,3s,2s,,,3,1,25.4,6.6,68.0
Ts,5c,,,,,,0,5,9.6,2.6,87.8
Ah,2c,6d,4c,7h,9h,,4,1,29.2,1.8,69.0
9c,Js,2s,7c,Jc,Qd,3c,5,5,19.6,0.6,79.8
8c,Kc,9h,Th,Jc,Jd,4d,5,8,0.0,0.0,100.0
6d,Qh,7c,Kd,Ac,,,3,7,1.0,1.0,98.0
9c,Ks,4c,7d,Kd,9d,Jc,5,7,47.6,0.8,51.6
6h,8h,Js,7d,3d,Jh,,4,5,2.6,1.0,96.4
9s,3c,9d,5c,Qc,5s,,4,1,60.8,5.6,33.6
Th,7c,Kc,6h,Tc,,,3,1,66.2,2.4,31.4
Tc,5d,Td,4c,7d,,,3,3,44.2,4.4,51.4
Tc,Ad,8d,5h,Qh,,,3,6,5.2,1.6,93.2
Qh,Js,6s,7s,Kh,2c,Ah,5,4,0.6,0.6,98.8
7h,Ac,2d,7d,Kd,3s,Jd,5,1,39.2,0.4,60.4
7d,4h,As,7s,2d,3c,,4,7,8.2,4.2,87.6
2d,2s,6d,Td,Ad,Ac,7h,5,8,0.0,0.0,100.0
9h,8c,2d,2c,3c,,,3,6,5.0,2.4,92.6
6d,Kh,,,,,,0,7,8.2,4.2,87.6
8c,Qd,Ks,Ah,6h,Ts,6s,5,2,15.6,5.8,78.6
As,6c,6d,3h,Qh,9h,,4,3,21.2,0.2,78.6
9d,Qc,Qd,6h,4s,,,3,5,36.8,2.6,60.6
8h,Td,Kd,7c,3h,,,3,1,33.0,2.0,65.0
Jd,Ad,,,,,,0,4,31.2,2.8,66.0
7d,4s,,,,,,0,3,13.6,3.2,83.2
5d,Th,,,,,,0,5,10.6,2.6,86.8
Th,7h,6h,Jc,Kh,Qc,6c,5,4,0.0,1.0,99.0
8d,Th,,,,,,0,2,31.0,3.4,65.6
Jc,Ts,Ac,Js,As,4s,,4,1,82.4,2.4,15.2
8c,As,8s,9h,7h,6d,3h,5,4,3.0,0.0,97.0
Ks,5s,,,,,,0,2,38.0,3.2,58.8
6c,Kd,2c,8d,Ks,,,3,8,25.0,5.8,69.2
Ts,5c,7d,7s,Qc,Th,Ks,5,4,7.6,5.4,87.0
Ks,Jc,2h,Kh,Ad,2s,,4,2,50.4,7.8,41.8
Qd,7d,7s,4s,Ks,7c,,4,6,51.0,3.4,45.6
8c,Kh,Qs,9c,3h,,,3,6,5.4,2.2,92.4
Qc,5d,7s,8s,Td,7h,5h,5,3,13.6,1.0,85.4
3c,6s,4d,7h,6d,,,3,1,55.6,5.8,38.6
6c,Ts,,,,,,0,2,23.2,3.6,73.2
5h,Jc,2d,Ad,2s,8c,Td,5,3,0.2,1.2,98.6
6c,Th,5h,Qc,Kd,7h,7d,5,5,0.0,0.0,100.0
6c,3h,,,,,,0,8,6.8,1.8,91.4
Qs,6s,,,,,,0,3,27.8,2.8,69.4
2d,9s,,,,,,0,7,6.4,1.4,92.2
Ks,2s,5s,8s,7s,4s,9d,5,7,47.6,0.0,52.4
Td,Jd,2c,6h,4c,7c,,4,1,13.2,1.2,85.6
Jd,6s,Th,4c,Qd,Ac,,4,8,1.6,6.2,92.2
2c,9h,3s,Tc,8d,Qs,Js,5,6,26.2,37.2,36.6
3d,Kd,2d,Th,7s,9s,,4,5,2.0,0.4,97.6
Th,Td,8s,Jc,2h,Jh,4d,5,3,67.4,0.6,32.0
8d,8s,3s,3c,3h,7d,6h,5,7,49.4,0.6,50.0
2h,3c,8d,5h,9d,,,3,1,13.6,4.2,82.2
7h,7s,6d,5h,9c,Qc,4c,5,5,6.0,0.0,94.0
Ad,3s,6s,Tc,2d,,,3,1,51.0,3.2,45.8
As,Ks,Kc,Jc,4c,6d,,4,8,22.0,1.0,77.0
9s,2s,Td,Th,8c,5h,,4,3,2.0,0.4,97.6
Qc,6s,,,,,,0,1,49.4,3.8,46.8
5d,2s,2c,Jd,Tc,9c,,4,6,3.2,0.2,96.6
Td,Th,7h,2s,5s,,,3,5,26.0,0.2,73.8
3d,Qd,,,,,,0,5,16.4,3.0,80.6
7h,Ts,5s,9c,3h,,,3,6,5.8,0.8,93.4
2c,As,Ah,Js,7s,,,3,1,81.8,4.4,13.8
7d,9h,Ad,9c,6d,,,3,6,14.8,4.4,80.8
Kd,Kh,,,,,,0,2,67.8,0.2,32.0
5s,6c,Qh,6s,Td,,,3,3,19.2,5.0,75.8
2d,7c,6d,5c,As,,,3,7,1.2,2.8,96.0
6c,5s,,,,,,0,5,12.0,3.0,85.0
Kc,As,2d,Kd,8d,,,3,6,26.2,1.4,72.4
4s,Ah,,,,,,0,2,35.0,4.2,60.8
Jd,Ac,,,,,,0,3,32.0,2.8,65.2
9h,3d,4h,9c,7c,8s,,4,7,11.4,2.2,86.4
Tc,7d,7c,Js,3h,5c,Qd,5,6,5.6,0.2,94.2
2s,5h,6d,Qh,Js,5c,4c,5,5,1.6,0.4,98.0
Ah,3s,4d,5d,9c,8d,Jd,5,5,0.0,0.0,100.0
Qd,Qs,Qh,Ks,4s,,,3,8,71.8,0.2,28.0
5h,3c,,,,,,0,5,11.2,3.2,85.6
8c,9d,4d,Jd,Qc,,,3,2,26.0,2.8,71.2
Kc,Jh,4d,Kd,Ks,As,6c,5,5,84.8,1.4,13.8
Qc,Ah,Qd,Jc,4s,Kc,6s,5,4,31.6,0.8,67.6
6h,5s,Jc,7c,As,2c,,4,6,0.2,0.0,99.8
Th,Jd,3c,2s,Kc,Qc,,4,5,12.8,0.6,86.6
5h,Qc,Kc,4s,As,,,3,2,21.8,5.2,73.0
3c,Ks,2c,8s,7c,3s,,4,4,16.0,0.4,83.6
Jh,3h,Qs,7d,9d,,,3,8,0.8,1.8,97.4
9d,8d,,,,,,0,8,13.6,2.0,84.4
6h,Tc,3h,Jd,Kc,,,3,6,2.8,1.2,96.0
Ks,Td,3c,4s,Kh,,,3,8,26.4,2.2,71.4
7d,Qd,Jd,8s,9h,,,3,4,11.8,8.8,79.4
Qd,Js,,,,,,0,7,14.4,2.0,83.6
Qc,8h,,,,,,0,8,8.4,1.8,89.8
Jc,As,9s,3h,Ac,Jh,Kh,5,2,82.8,1.0,16.2
Jc,9c,As,2d,9d,,,3,4,23.6,3.8,72.6
3s,Ad,,,,,,0,1,52.2,4.6,43.2
7h,9h,Ad,Tc,4d,Jd,,4,1,22.0,4.6,73.4
Jd,As,7h,6s,8h,9c,,4,4,6.0,6.4,87.6
Js,2c,,,,,,0,2,26.2,3.6,70.2
8d,4d,,,,,,0,5,12.6,2.0,85.4
9s,Qc,Kh,2h,Tc,Td,,4,5,7.2,1.4,91.4
3s,Ad,Ah,6s,2s,,,3,8,21.6,7.2,71.2
5d,2d,3d,2h,Ac,,,3,7,12.6,10.2,77.2
7h,3h,Ad,8h,5s,Qs,3c,5,6,0.2,0.0,99.8
Tc,2c,Kc,7h,5d,,,3,3,9.4,1.4,89.2
Jd,6s,Kd,Td,4h,,,3,2,19.8,2.6,77.6
6h,3s,Ad,5c,9d,,,3,8,2.6,0.6,96.8
5s,Qh,3c,9d,Qc,7d,Th,5,4,37.6,5.6,56.8
7c,9d,2d,2c,Kd,Td,,4,2,20.0,5.2,74.8
5h,Ks,2h,6s,2c,2d,,4,8,1.2,4.6,94.2
Ah,4h,Qc,3d,8h,,,3,6,10.0,0.8,89.2
2h,Kd,4s,Qs,6h,,,3,2,15.6,2.2,82.2
6d,2h,Jd,3h,4c,,,3,8,11.4,3.4,85.2
6h,Th,9d,3h,Js,,,3,8,6.0,2.8,91.2
4c,6s,2h,5s,9d,4s,,4,6,7.4,3.0,89.6
5c,4s,,,,,,0,5,10.4,4.4,85.2
Kh,Jd,4s,3c,5d,Ac,,4,8,0.0,1.2,98.8
As,6h,,,,,,0,6,12.6,3.6,83.8
Ah,3s,3d,3c,As,7h,5s,5,1,99.0,0.6,0.4
2d,6s,3h,3d,4d,Ac,,4,1,13.6,5.8,80.6
Qs,9s,,,,,,0,1,55.8,3.8,40.4
7d,Jd,,,,,,0,3,28.4,2.6,69.0
3c,Jh,,,,,,0,7,7.0,3.4,89.6
Jd,5c,Jc,5d,Kh,Td,Ts,5,2,41.4,10.0,48.6
5d,Jd,Qc,8c,9d,9c,,4,2,12.0,6.6,81.4
Kd,Jc,As,4h,5c,,,3,3,16.0,4.0,80.0
Ac,2h,9d,4s,9s,5c,,4,4,12.4,3.4,84.2
4s,Ah,7c,2s,2h,8s,3h,5,7,0.0,0.0,100.0
Ad,Ah,,,,,,0,8,39.8,0.2,60.0
9h,5s,8s,4h,Ts,,,3,4,6.6,1.8,91.6
Ks,Jd,Kh,7d,2s,,,3,1,86.2,0.2,13.6
7h,4d,Qc,As,Ts,,,3,8,0.8,1.2,98.0
4c,Kh,8h,6c,5d,Js,4d,5,3,3.8,0.6,95.6
Ah,4s,Qc,5d,9s,2c,Tc,5,7,0.0,0.0,100.0
Kc,4s,,,,,,0,5,16.4,2.6,81.0
9c,3c,7c,Qh,2d,Js,Ad,5,2,1.8,1.2,97.0
6s,Kd,4s,8h,Kc,,,3,2,68.4,6.4,25.2
8c,5s,6d,7c,3s,,,3,6,25.0,4.0,71.0
Qs,Jh,Tc,5h,2s,6s,,4,6,4.0,0.2,95.8
Th,Kc,8s,6c,8d,5d,Qd,5,1,31.6,0.2,68.2
Ts,3d,7c,3s,4s,Ks,,4,4,19.0,0.6,80.4
Ah,9c,Ks,7d,Qd,6c,9s,5,2,41.2,1.4,57.4
Kd,9c,,,,,,0,4,22.2,1.6,76.2
Kc,3d,,,,,,0,5,13.8,2.6,83.6
9s,Kh,,,,,,0,2,37.4,2.0,60.6
2s,7d,3s,Kh,Ks,Js,5s,5,1,61.0,0.0,39.0
4c,7d,8h,3c,Jc,6c,,4,7,7.0,0.4,92.6
4c,Jd,,,,,,0,8,5.0,2.0,93.0
Ac,Qh,5s,6s,Jd,,,3,2,28.2,1.4,70.4
Qs,Ks,Js,7c,2h,,,3,5,18.6,0.2,81.2
4c,Kh,,,,,,0,3,21.6,2.6,75.8
7c,Qd,Kc,5s,3d,Th,,4,1,35.0,1.6,63.4
3d,Js,Ts,4s,Qc,,,3,8,3.8,3.8,92.4
8d,4d,9h,7h,Qd,2c,4c,5,5,3.0,0.2,96.8
Js,Kd,Qd,8h,Kc,Ts,5s,5,1,86.2,0.0,13.8
5s,2d,5c,Qs,2h,4d,,4,4,48.2,1.6,50.2
2c,Qc,7d,5s,Qh,3s,,4,7,19.2,2.6,78.2
9d,Ad,4s,7h,3d,4d,Ac,5,4,43.8,1.4,54.8
8d,5d,7h,2d,3h,3s,,4,8,0.4,0.2,99.4
5s,7s,,,,,,0,8,13.6,2.0,84.4
9h,Ah,6s,Jd,9d,,,3,6,19.8,1.2,79.0
7s,4c,,,,,,0,3,16.6,2.4,81.0
4c,6h,,,,,,0,2,23.4,3.4,73.2
6d,3s,4s,Jd,Jc,Jh,8s,5,6,0.0,0.0,100.0
Kc,9s,Ks,Js,Tc,9c,Jd,5,6,6.4,4.6,89.0
Qc,3d,7s,5c,Ac,5s,9h,5,7,0.0,0.0,100.0
7s,8s,6s,4h,As,2c,,4,7,24.2,0.4,75.4
Qd,7d,3s,4h,9h,,,3,3,11.4,0.8,87.8
8c,Kh,2h,Ad,4c,,,3,6,5.0,2.0,93.0
Qs,3s,9h,Ks,2c,Jd,,4,4,4.4,4.8,90.8
Js,3s,,,,,,0,4,16.0,3.6,80.4
6s,3h,,,,,,0,2,23.2,3.0,73.8
9s,Jh,7s,Kh,Js,Th,Ac,5,3,11.2,4.2,84.6
8c,Js,Kd,9d,Ac,Jd,Kh,5,8,1.2,3.0,95.8
7h,9d,Kd,Jd,Ah,,,3,8,1.2,1.4,97.4
Ts,Jh,8h,Qd,Tc,,,3,4,32.6,10.4,57.0
Jd,Ah,3s,2s,5s,4s,,4,2,13.6,15.4,71.0
9c,9s,7s,Ts,Jd,4h,,4,7,8.2,4.8,87.0
Jh,3d,,,,,,0,4,14.6,3.8,81.6
Qs,Qh,,,,,,0,2,59.0,1.2,39.8
2h,6d,2d,Kd,3c,9d,,4,5,11.2,1.0,87.8
Th,2c,Js,Jc,5d,,,3,4,4.0,2.4,93.6
6h,2s,7d,5h,Ad,Ks,,4,8,0.0,0.0,100.0
Kd,6h,Th,Qc,Td,6c,,4,7,6.4,1.4,92.2
As,7c,Ah,Qd,3d,Qc,,4,3,55.4,8.0,36.6
5d,6d,,,,,,0,3,22.4,1.8,75.8
2c,Kh,,,,,,0,6,10.6,3.8,85.6
Qd,6c,8d,9d,4c,8h,Kd,5,3,2.0,2.0,96.0
Ac,7h,5s,Ad,2h,6s,5d,5,4,44.0,2.2,53.8
6h,6d,5s,Kh,Jc,,,3,7,9.8,0.0,90.2
6s,Tc,5d,Qs,6d,,,3,4,19.2,3.2,77.6
Jh,2s,,,,,,0,2,24.2,3.0,72.8
Qs,Kc,Qc,Kd,2c,2h,7c,5,1,88.0,0.2,11.8
7d,2d,,,,,,0,4,12.6,1.8,85.6
Th,Jh,4d,4h,Td,Js,,4,6,32.0,2.6,65.4
5d,6c,Th,Jh,Kd,,,3,8,0.2,1.6,98.2
3d,3c,5h,2c,5d,Td,,4,4,15.6,0.2,84.2
Kd,5c,,,,,,0,3,24.4,3.0,72.6
3s,Kc,,,,,,0,2,25.4,3.4,71.2
Jc,Ah,,,,,,0,8,15.6,2.6,81.8
Ts,7d,,,,,,0,5,13.4,3.2,83.4
Kd,Kc,,,,,,0,8,33.4,0.8,65.8
Js,Ts,Kc,8h,7d,5s,,4,8,7.0,0.4,92.6
As,2c,Ts,Js,Qd,,,3,2,24.8,9.6,65.6
Th,Td,,,,,,0,5,30.6,0.8,68.6
8s,7c,5s,Jh,6s,3s,,4,4,19.8,0.6,79.6
5s,Qh,4c,7h,6c,,,3,3,21.0,8.2,70.8
5h,8h,7d,5c,2s,,,3,4,18.4,2.4,79.2
8s,Jc,As,5c,Qd,,,3,3,8.2,3.2,88.6
Qh,2d,,,,,,0,3,16.6,3.4,80.0
8d,Qh,7s,3h,Jd,Jc,2s,5,8,0.0,0.0,100.0
Ks,Kd,7d,Jh,5c,4h,,4,1,78.0,0.0,22.0
Qd,8s,Kc,Js,6h,,,3,3,10.0,3.6,86.4
5s,Kc,,,,,,0,4,15.2,4.4,80.4
8c,9d,3c,6s,9c,4d,,4,2,53.0,1.2,45.8
Qh,9s,,,,,,0,5,16.2,3.0,80.8
8h,7s,,,,,,0,4,17.8,4.4,77.8
Jd,9s,7d,5h,Qd,Ah,,4,2,9.8,1.6,88.6
2s,6c,3d,Ad,Tc,4c,,4,5,11.2,0.2,88.6
Ah,8h,9h,2h,2c,Jh,Qd,5,5,86.8,0.0,13.2
2d,5d,8c,3d,6d,,,3,7,27.6,1.8,70.6
4d,9c,Tc,2c,5s,,,3,4,6.2,1.8,92.0
Qd,4c,7c,2h,Jh,4s,3h,5,4,12.4,0.2,87.4
Ts,7h,6d,5c,9d,7c,,4,8,2.8,5.6,91.6
7h,Kc,2d,As,Td,,,3,1,42.2,3.8,54.0
8c,4s,3c,Ad,5c,4h,8s,5,2,58.4,0.2,41.4
3s,4c,9d,Qs,5h,Jc,4s,5,1,38.6,3.8,57.6
Qc,Jh,3c,4d,2d,Kc,7c,5,5,0.0,0.0,100.0
7s,Kd,6h,5d,Jc,,,3,6,5.0,2.2,92.8
9d,4s,Td,8s,Ac,,,3,1,25.2,5.8,69.0
8c,Th,5d,5c,4d,,,3,5,5.0,2.0,93.0
2h,5c,Ac,3h,4s,,,3,8,61.2,19.2,19.6
2d,5h,5c,Qc,Js,Qs,4s,5,3,21.2,9.0,69.8
5d,Th,6c,Ah,8c,8d,,4,4,1.2,3.8,95.0
5d,Ah,9d,Td,Ks,3d,,4,4,10.6,1.0,88.4
8c,Qs,8h,Jd,Ah,,,3,7,9.8,3.0,87.2
Qs,2h,,,,,,0,4,12.6,3.0,84.4
9d,8s,5c,Kc,3s,,,3,1,27.0,1.6,71.4
7c,Qc,,,,,,0,3,26.6,3.6,69.8
Jh,3d,Ac,9h,8h,,,3,2,15.0,3.6,81.4
2s,6s,6h,2d,8c,Kh,,4,4,56.6,2.2,41.2
6h,9d,,,,,,0,5,12.4,4.0,83.6
9h,Ts,5d,Qh,Th,9s,Kd,5,4,32.8,0.6,66.6
Ah,2d,,,,,,0,5,15.8,3.6,80.6
Th,Qh,Ts,5d,6c,,,3,1,79.2,0.6,20.2
Kh,5h,,,,,,0,2,41.0,4.6,54.4
8d,Kc,7c,3d,9c,4c,,4,2,29.4,0.6,70.0
4c,Js,2c,Ad,Td,6h,As,5,1,23.0,3.0,74.0
7s,As,4h,8c,Jh,Ts,,4,7,1.2,2.2,96.6
Ac,6c,8d,Qd,Jh,6d,9d,5,8,0.0,0.0,100.0
Jh,Kh,,,,,,0,2,48.6,2.8,48.6
2s,Ks,5d,Ad,4h,,,3,5,5.8,9.2,85.0
2s,Jd,,,,,,0,5,10.4,3.8,85.8
Jc,8c,,,,,,0,8,14.2,4.0,81.8
3d,Ad,6d,Jd,Ac,Ah,4c,5,3,83.2,3.2,13.6
2c,As,,,,,,0,5,13.2,3.8,83.0
5s,4s,7d,Qc,7s,2c,,4,8,0.6,0.4,99.0
4c,2s,Jc,5c,Ac,Th,,4,7,5.2,0.0,94.8
7h,7s,3d,2c,9c,,,3,7,8.6,0.0,91.4
Kd,Qc,Td,Kh,5c,4c,,4,4,60.4,1.0,38.6
2s,8c,Qc,7s,7d,,,3,5,2.0,1.6,96.4
7c,Td,Ad,4c,Qs,Qh,,4,7,0.0,1.8,98.2
9h,2s,6s,4h,6h,,,3,4,5.2,1.2,93.6
9h,3c,,,,,,0,6,5.6,1.8,92.6
Jh,4h,6c,4d,Kc,,,3,8,8.2,1.2,90.6
Qs,8h,,,,,,0,6,10.0,4.4,85.6
2h,2s,4c,8c,9d,,,3,7,6.0,0.0,94.0
6c,9h,Kc,4d,Qh,,,3,3,6.8,2.2,91.0
Ks,9c,,,,,,0,8,11.4,3.4,85.2
Kc,9d,9h,Ks,Tc,9s,7s,5,8,94.2,1.6,4.2
5s,3c,3s,Ad,3h,,,3,3,79.6,7.2,13.2
8s,2s,Qd,Td,Kh,7s,Ts,5,2,1.2,1.6,97.2
3c,Jc,3d,Kh,Qd,Qh,Jh,5,1,63.4,6.6,30.0
Jd,As,,,,,,0,2,46.4,3.4,50.2
Qc,Ac,,,,,,0,8,21.2,1.8,77.0
5h,Js,,,,,,0,1,46.8,4.4,48.8
9d,Qc,,,,,,0,3,24.8,2.4,72.8
6c,Ac,,,,,,0,8,12.6,2.6,84.8
7s,Jc,Ks,6c,Kh,,,3,8,3.8,1.8,94.4
9d,4c,4h,Tc,8s,,,3,5,15.2,1.8,83.0
Js,6d,5d,Th,4d,6s,Ks,5,7,2.0,0.2,97.8
4d,Kd,Tc,2d,8d,8h,,4,6,16.0,0.4,83.6
Ah,2c,,,,,,0,2,30.4,5.8,63.8
3d,7s,8d,Jc,5c,8s,Jh,5,7,0.0,0.0,100.0
3s,4d,7c,3d,Tc,,,3,1,56.4,3.6,40.0
Jh,As,,,,,,0,2,45.0,2.0,53.0
As,3s,,,,,,0,8,12.6,3.2,84.2
5c,6s,,,,,,0,1,34.6,6.0,59.4
Jd,6c,Qh,Jc,7c,6d,,4,5,54.2,4.2,41.6
Js,4s,9d,9h,Th,,,3,8,1.2,2.8,96.0
Ah,8h,,,,,,0,3,33.2,3.2,63.6
2h,6h,,,,,,0,5,9.6,1.0,89.4
6s,9s,4d,3c,4h,Th,Js,5,3,0.2,0.6,99.2
4d,2d,,,,,,0,8,8.6,2.6,88.8
8d,7d,5h,Kd,9h,5s,Jc,5,1,0.0,18.2,81.8
2h,Ks,2d,3h,4h,2c,6s,5,7,20.2,0.0,79.8
Qc,7s,5c,As,2c,2s,9d,5,3,1.8,1.6,96.6
8h,9c,3s,7d,4h,Ts,8s,5,1,66.2,0.6,33.2
8c,Ac,3s,8s,3h,,,3,1,77.0,1.4,21.6
2h,9c,4s,Jc,Kc,,,3,8,2.4,0.4,97.2
Qc,9h,,,,,,0,2,37.8,3.4,58.8
8d,Kh,5c,5s,Ks,9c,Qs,5,2,56.6,10.0,33.4
3d,2c,6c,7h,4s,,,3,5,1.6,3.2,95.2
